Country,State,Year,As On Date,"Number Of Houses Completed (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023",11-Mar-2026,25
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,25209
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,21373
India,Assam,"Financial Year (Apr - Mar), 2023",11-Mar-2026,390243
India,Bihar,"Financial Year (Apr - Mar), 2023",11-Mar-2026,76346
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,232375
India,Goa,"Financial Year (Apr - Mar), 2023",11-Mar-2026,94
India,Gujarat,"Financial Year (Apr - Mar), 2023",11-Mar-2026,143887
India,Haryana,"Financial Year (Apr - Mar), 2023",11-Mar-2026,1777
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,4556
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023",11-Mar-2026,79148
India,Jharkhand,"Financial Year (Apr - Mar), 2023",11-Mar-2026,50074
India,Karnataka,"Financial Year (Apr - Mar), 2023",11-Mar-2026,34042
India,Kerala,"Financial Year (Apr - Mar), 2023",11-Mar-2026,5136
India,Ladakh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,1487
India,Lakshadweep,"Financial Year (Apr - Mar), 2023",11-Mar-2026,1
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,129645
India,Maharashtra,"Financial Year (Apr - Mar), 2023",11-Mar-2026,108280
India,Manipur,"Financial Year (Apr - Mar), 2023",11-Mar-2026,1754
India,Meghalaya,"Financial Year (Apr - Mar), 2023",11-Mar-2026,48609
India,Mizoram,"Financial Year (Apr - Mar), 2023",11-Mar-2026,9314
India,Nagaland,"Financial Year (Apr - Mar), 2023",11-Mar-2026,8197
India,Odisha,"Financial Year (Apr - Mar), 2023",11-Mar-2026,525946
India,Puducherry,"Financial Year (Apr - Mar), 2023",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2023",11-Mar-2026,3079
India,Rajasthan,"Financial Year (Apr - Mar), 2023",11-Mar-2026,31228
India,Sikkim,"Financial Year (Apr - Mar), 2023",11-Mar-2026,249
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023",11-Mar-2026,100219
India,Telangana,"Financial Year (Apr - Mar), 2023",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023",11-Mar-2026,359.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2023",11-Mar-2026,131880
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023",11-Mar-2026,378344
India,Uttarakhand,"Financial Year (Apr - Mar), 2023",11-Mar-2026,38563
India,West Bengal,"Financial Year (Apr - Mar), 2023",11-Mar-2026,13868
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2022",11-Mar-2026,97
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,2167
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,9344
India,Assam,"Financial Year (Apr - Mar), 2022",11-Mar-2026,995879
India,Bihar,"Financial Year (Apr - Mar), 2022",11-Mar-2026,1140758
India,Chhattisgarh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,33485
India,Goa,"Financial Year (Apr - Mar), 2022",11-Mar-2026,12
India,Gujarat,"Financial Year (Apr - Mar), 2022",11-Mar-2026,65085
India,Haryana,"Financial Year (Apr - Mar), 2022",11-Mar-2026,4640
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,3650
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2022",11-Mar-2026,76695
India,Jharkhand,"Financial Year (Apr - Mar), 2022",11-Mar-2026,360219
India,Karnataka,"Financial Year (Apr - Mar), 2022",11-Mar-2026,2640
India,Kerala,"Financial Year (Apr - Mar), 2022",11-Mar-2026,8823
India,Ladakh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,1
India,Lakshadweep,"Financial Year (Apr - Mar), 2022",11-Mar-2026,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,1023290
India,Maharashtra,"Financial Year (Apr - Mar), 2022",11-Mar-2026,328885
India,Manipur,"Financial Year (Apr - Mar), 2022",11-Mar-2026,9950
India,Meghalaya,"Financial Year (Apr - Mar), 2022",11-Mar-2026,6913
India,Mizoram,"Financial Year (Apr - Mar), 2022",11-Mar-2026,1020
India,Nagaland,"Financial Year (Apr - Mar), 2022",11-Mar-2026,3158
India,Odisha,"Financial Year (Apr - Mar), 2022",11-Mar-2026,26805
India,Puducherry,"Financial Year (Apr - Mar), 2022",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2022",11-Mar-2026,10540
India,Rajasthan,"Financial Year (Apr - Mar), 2022",11-Mar-2026,386441
India,Sikkim,"Financial Year (Apr - Mar), 2022",11-Mar-2026,41
India,Tamil Nadu,"Financial Year (Apr - Mar), 2022",11-Mar-2026,173705
India,Telangana,"Financial Year (Apr - Mar), 2022",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2022",11-Mar-2026,1486.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2022",11-Mar-2026,179284
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2022",11-Mar-2026,657778
India,Uttarakhand,"Financial Year (Apr - Mar), 2022",11-Mar-2026,12492
India,West Bengal,"Financial Year (Apr - Mar), 2022",11-Mar-2026,147312
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2021",11-Mar-2026,335
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,992
India,Assam,"Financial Year (Apr - Mar), 2021",11-Mar-2026,117694
India,Bihar,"Financial Year (Apr - Mar), 2021",11-Mar-2026,508362
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,23289
India,Goa,"Financial Year (Apr - Mar), 2021",11-Mar-2026,19
India,Gujarat,"Financial Year (Apr - Mar), 2021",11-Mar-2026,77282
India,Haryana,"Financial Year (Apr - Mar), 2021",11-Mar-2026,263
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,1884
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2021",11-Mar-2026,42515
India,Jharkhand,"Financial Year (Apr - Mar), 2021",11-Mar-2026,295036
India,Karnataka,"Financial Year (Apr - Mar), 2021",11-Mar-2026,11239
India,Kerala,"Financial Year (Apr - Mar), 2021",11-Mar-2026,2440
India,Ladakh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,22
India,Lakshadweep,"Financial Year (Apr - Mar), 2021",11-Mar-2026,7
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,606303
India,Maharashtra,"Financial Year (Apr - Mar), 2021",11-Mar-2026,179021
India,Manipur,"Financial Year (Apr - Mar), 2021",11-Mar-2026,3626
India,Meghalaya,"Financial Year (Apr - Mar), 2021",11-Mar-2026,7009
India,Mizoram,"Financial Year (Apr - Mar), 2021",11-Mar-2026,1158
India,Nagaland,"Financial Year (Apr - Mar), 2021",11-Mar-2026,0
India,Odisha,"Financial Year (Apr - Mar), 2021",11-Mar-2026,97145
India,Puducherry,"Financial Year (Apr - Mar), 2021",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2021",11-Mar-2026,5473
India,Rajasthan,"Financial Year (Apr - Mar), 2021",11-Mar-2026,141279
India,Sikkim,"Financial Year (Apr - Mar), 2021",11-Mar-2026,5
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",11-Mar-2026,57322
India,Telangana,"Financial Year (Apr - Mar), 2021",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2021",11-Mar-2026,641.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2021",11-Mar-2026,1639
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,1094653
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",11-Mar-2026,3844
India,West Bengal,"Financial Year (Apr - Mar), 2021",11-Mar-2026,959228
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2020",11-Mar-2026,483
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",11-Mar-2026,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",11-Mar-2026,2417
India,Assam,"Financial Year (Apr - Mar), 2020",11-Mar-2026,130878
India,Bihar,"Financial Year (Apr - Mar), 2020",11-Mar-2026,942613
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",11-Mar-2026,59684
India,Goa,"Financial Year (Apr - Mar), 2020",11-Mar-2026,87
India,Gujarat,"Financial Year (Apr - Mar), 2020",11-Mar-2026,50742
India,Haryana,"Financial Year (Apr - Mar), 2020",11-Mar-2026,1215
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",11-Mar-2026,605
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2020",11-Mar-2026,21569
India,Jharkhand,"Financial Year (Apr - Mar), 2020",11-Mar-2026,235011
India,Karnataka,"Financial Year (Apr - Mar), 2020",11-Mar-2026,2405
India,Kerala,"Financial Year (Apr - Mar), 2020",11-Mar-2026,686
India,Ladakh,"Financial Year (Apr - Mar), 2020",11-Mar-2026,62
India,Lakshadweep,"Financial Year (Apr - Mar), 2020",11-Mar-2026,28
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",11-Mar-2026,261254
India,Maharashtra,"Financial Year (Apr - Mar), 2020",11-Mar-2026,181691
India,Manipur,"Financial Year (Apr - Mar), 2020",11-Mar-2026,2379
India,Meghalaya,"Financial Year (Apr - Mar), 2020",11-Mar-2026,5016
India,Mizoram,"Financial Year (Apr - Mar), 2020",11-Mar-2026,1123
India,Nagaland,"Financial Year (Apr - Mar), 2020",11-Mar-2026,535
India,Odisha,"Financial Year (Apr - Mar), 2020",11-Mar-2026,395105
India,Puducherry,"Financial Year (Apr - Mar), 2020",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2020",11-Mar-2026,3908
India,Rajasthan,"Financial Year (Apr - Mar), 2020",11-Mar-2026,315446
India,Sikkim,"Financial Year (Apr - Mar), 2020",11-Mar-2026,13
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",11-Mar-2026,51868
India,Telangana,"Financial Year (Apr - Mar), 2020",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2020",11-Mar-2026,972.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2020",11-Mar-2026,15462
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",11-Mar-2026,37710
India,Uttarakhand,"Financial Year (Apr - Mar), 2020",11-Mar-2026,19
India,West Bengal,"Financial Year (Apr - Mar), 2020",11-Mar-2026,678583
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2019",11-Mar-2026,286
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",11-Mar-2026,5
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",11-Mar-2026,747
India,Assam,"Financial Year (Apr - Mar), 2019",11-Mar-2026,84010
India,Bihar,"Financial Year (Apr - Mar), 2019",11-Mar-2026,376216
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",11-Mar-2026,34587
India,Goa,"Financial Year (Apr - Mar), 2019",11-Mar-2026,3
India,Gujarat,"Financial Year (Apr - Mar), 2019",11-Mar-2026,35589
India,Haryana,"Financial Year (Apr - Mar), 2019",11-Mar-2026,6670
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",11-Mar-2026,447
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2019",11-Mar-2026,5016
India,Jharkhand,"Financial Year (Apr - Mar), 2019",11-Mar-2026,156974
India,Karnataka,"Financial Year (Apr - Mar), 2019",11-Mar-2026,7085
India,Kerala,"Financial Year (Apr - Mar), 2019",11-Mar-2026,779
India,Ladakh,"Financial Year (Apr - Mar), 2019",11-Mar-2026,1344
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",11-Mar-2026,9
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",11-Mar-2026,272863
India,Maharashtra,"Financial Year (Apr - Mar), 2019",11-Mar-2026,92285
India,Manipur,"Financial Year (Apr - Mar), 2019",11-Mar-2026,1151
India,Meghalaya,"Financial Year (Apr - Mar), 2019",11-Mar-2026,4995
India,Mizoram,"Financial Year (Apr - Mar), 2019",11-Mar-2026,997
India,Nagaland,"Financial Year (Apr - Mar), 2019",11-Mar-2026,3687
India,Odisha,"Financial Year (Apr - Mar), 2019",11-Mar-2026,361189
India,Puducherry,"Financial Year (Apr - Mar), 2019",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2019",11-Mar-2026,410
India,Rajasthan,"Financial Year (Apr - Mar), 2019",11-Mar-2026,166761
India,Sikkim,"Financial Year (Apr - Mar), 2019",11-Mar-2026,34
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",11-Mar-2026,49986
India,Telangana,"Financial Year (Apr - Mar), 2019",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2019",11-Mar-2026,221.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2019",11-Mar-2026,6155
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",11-Mar-2026,174166
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",11-Mar-2026,192
India,West Bengal,"Financial Year (Apr - Mar), 2019",11-Mar-2026,286333
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2018",11-Mar-2026,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",11-Mar-2026,18674
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",11-Mar-2026,85
India,Assam,"Financial Year (Apr - Mar), 2018",11-Mar-2026,159017
India,Bihar,"Financial Year (Apr - Mar), 2018",11-Mar-2026,581825
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",11-Mar-2026,341378
India,Goa,"Financial Year (Apr - Mar), 2018",11-Mar-2026,22
India,Gujarat,"Financial Year (Apr - Mar), 2018",11-Mar-2026,83097
India,Haryana,"Financial Year (Apr - Mar), 2018",11-Mar-2026,5961
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2018",11-Mar-2026,3096
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2018",11-Mar-2026,13850
India,Jharkhand,"Financial Year (Apr - Mar), 2018",11-Mar-2026,272678
India,Karnataka,"Financial Year (Apr - Mar), 2018",11-Mar-2026,43760
India,Kerala,"Financial Year (Apr - Mar), 2018",11-Mar-2026,6519
India,Ladakh,"Financial Year (Apr - Mar), 2018",11-Mar-2026,0
India,Lakshadweep,"Financial Year (Apr - Mar), 2018",11-Mar-2026,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",11-Mar-2026,700447
India,Maharashtra,"Financial Year (Apr - Mar), 2018",11-Mar-2026,201969
India,Manipur,"Financial Year (Apr - Mar), 2018",11-Mar-2026,7655
India,Meghalaya,"Financial Year (Apr - Mar), 2018",11-Mar-2026,11329
India,Mizoram,"Financial Year (Apr - Mar), 2018",11-Mar-2026,900
India,Nagaland,"Financial Year (Apr - Mar), 2018",11-Mar-2026,17
India,Odisha,"Financial Year (Apr - Mar), 2018",11-Mar-2026,403125
India,Puducherry,"Financial Year (Apr - Mar), 2018",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2018",11-Mar-2026,12751
India,Rajasthan,"Financial Year (Apr - Mar), 2018",11-Mar-2026,326599
India,Sikkim,"Financial Year (Apr - Mar), 2018",11-Mar-2026,646
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",11-Mar-2026,104388
India,Telangana,"Financial Year (Apr - Mar), 2018",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2018",11-Mar-2026,203.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2018",11-Mar-2026,20690
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2018",11-Mar-2026,426571
India,Uttarakhand,"Financial Year (Apr - Mar), 2018",11-Mar-2026,5925
India,West Bengal,"Financial Year (Apr - Mar), 2018",11-Mar-2026,739774
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2017",11-Mar-2026,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",11-Mar-2026,27347
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2017",11-Mar-2026,0
India,Assam,"Financial Year (Apr - Mar), 2017",11-Mar-2026,26059
India,Bihar,"Financial Year (Apr - Mar), 2017",11-Mar-2026,28135
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",11-Mar-2026,365867
India,Goa,"Financial Year (Apr - Mar), 2017",11-Mar-2026,0
India,Gujarat,"Financial Year (Apr - Mar), 2017",11-Mar-2026,95280
India,Haryana,"Financial Year (Apr - Mar), 2017",11-Mar-2026,6675
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2017",11-Mar-2026,3504
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2017",11-Mar-2026,1966
India,Jharkhand,"Financial Year (Apr - Mar), 2017",11-Mar-2026,188295
India,Karnataka,"Financial Year (Apr - Mar), 2017",11-Mar-2026,34317
India,Kerala,"Financial Year (Apr - Mar), 2017",11-Mar-2026,9444
India,Ladakh,"Financial Year (Apr - Mar), 2017",11-Mar-2026,0
India,Lakshadweep,"Financial Year (Apr - Mar), 2017",11-Mar-2026,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",11-Mar-2026,636365
India,Maharashtra,"Financial Year (Apr - Mar), 2017",11-Mar-2026,145630
India,Manipur,"Financial Year (Apr - Mar), 2017",11-Mar-2026,66
India,Meghalaya,"Financial Year (Apr - Mar), 2017",11-Mar-2026,260
India,Mizoram,"Financial Year (Apr - Mar), 2017",11-Mar-2026,1333
India,Nagaland,"Financial Year (Apr - Mar), 2017",11-Mar-2026,0
India,Odisha,"Financial Year (Apr - Mar), 2017",11-Mar-2026,431669
India,Puducherry,"Financial Year (Apr - Mar), 2017",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2017",11-Mar-2026,608
India,Rajasthan,"Financial Year (Apr - Mar), 2017",11-Mar-2026,317727
India,Sikkim,"Financial Year (Apr - Mar), 2017",11-Mar-2026,372
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",11-Mar-2026,78680
India,Telangana,"Financial Year (Apr - Mar), 2017",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2017",11-Mar-2026,7.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2017",11-Mar-2026,3333
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2017",11-Mar-2026,817001
India,Uttarakhand,"Financial Year (Apr - Mar), 2017",11-Mar-2026,6236
India,West Bengal,"Financial Year (Apr - Mar), 2017",11-Mar-2026,589790
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,681
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Assam,"Financial Year (Apr - Mar), 2016",11-Mar-2026,4
India,Bihar,"Financial Year (Apr - Mar), 2016",11-Mar-2026,1
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,136
India,Goa,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Gujarat,"Financial Year (Apr - Mar), 2016",11-Mar-2026,12
India,Haryana,"Financial Year (Apr - Mar), 2016",11-Mar-2026,1
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,1
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Jharkhand,"Financial Year (Apr - Mar), 2016",11-Mar-2026,25
India,Karnataka,"Financial Year (Apr - Mar), 2016",11-Mar-2026,236
India,Kerala,"Financial Year (Apr - Mar), 2016",11-Mar-2026,48
India,Ladakh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Lakshadweep,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,152
India,Maharashtra,"Financial Year (Apr - Mar), 2016",11-Mar-2026,219
India,Manipur,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Meghalaya,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Mizoram,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Nagaland,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Odisha,"Financial Year (Apr - Mar), 2016",11-Mar-2026,443
India,Puducherry,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Rajasthan,"Financial Year (Apr - Mar), 2016",11-Mar-2026,108
India,Sikkim,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Telangana,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2016",11-Mar-2026,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,14
India,Uttarakhand,"Financial Year (Apr - Mar), 2016",11-Mar-2026,4
India,West Bengal,"Financial Year (Apr - Mar), 2016",11-Mar-2026,30
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Assam,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Bihar,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Goa,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Gujarat,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Haryana,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Jharkhand,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Karnataka,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Kerala,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Ladakh,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Lakshadweep,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Maharashtra,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Manipur,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Meghalaya,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Mizoram,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Nagaland,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Odisha,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Puducherry,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Rajasthan,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Sikkim,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Telangana,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Uttarakhand,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,West Bengal,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Assam,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Bihar,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Goa,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Gujarat,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Haryana,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Jharkhand,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Karnataka,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Kerala,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Ladakh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Lakshadweep,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Maharashtra,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Manipur,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Meghalaya,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Mizoram,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Nagaland,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Odisha,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Puducherry,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Rajasthan,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Sikkim,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Telangana,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Uttarakhand,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,West Bengal,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
